ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,2,0,22,0,1,1,0,4,4,4
462643,1,1,38,1,2,,1,3,4,1
466315,1,1,67,1,2,1,0,1,6,2
461735,2,1,67,1,3,0,2,2,6,2
462669,1,1,40,1,4,,2,6,6,1
461319,2,1,56,0,5,0,1,2,6,3
460156,2,0,32,1,1,1,0,3,6,3
464347,1,0,33,1,1,1,0,3,6,4
465015,1,1,61,1,2,0,0,3,7,4
465176,1,1,55,1,5,1,1,4,6,3
464041,1,0,26,1,2,1,0,3,6,1
464942,2,0,19,0,1,4,0,4,4,4
461230,1,0,19,0,6,0,0,,3,4
459573,2,1,70,0,3,,0,1,6,1
460849,1,1,58,0,7,0,0,1,3,2
460563,1,0,41,0,1,1,0,2,1,3
466865,1,0,32,0,8,9,0,5,3,4
461644,2,0,31,0,1,1,0,6,6,2
466772,2,1,58,1,4,1,1,4,6,2
464291,1,1,79,1,5,0,2,1,6,3
466084,2,1,49,1,8,12,0,1,3,1
459675,1,0,18,0,1,3,0,4,6,4
465602,2,1,33,1,5,13,0,2,3,1
459168,1,0,36,1,5,5,0,2,6,2
461021,1,,58,0,6,1,1,3,3,2
465083,2,1,56,0,5,1,1,3,6,3
467604,2,0,31,0,1,9,0,8,4,1
459717,2,1,49,1,5,1,1,3,6,3
465882,2,0,35,1,5,0,0,1,6,2
461996,1,0,35,0,5,5,0,4,6,3
463331,1,1,45,1,5,0,0,3,6,3
462216,1,1,42,0,7,1,0,2,4,1
462454,2,0,19,0,1,1,0,3,2,4
467010,2,0,26,0,8,9,0,,6,4
459861,1,1,83,0,3,1,2,2,6,4
467917,1,0,27,1,1,3,0,4,1,4
465572,2,0,32,0,7,5,0,1,4,4
460593,1,1,28,0,1,1,1,5,3,4
465891,1,1,28,1,5,8,0,2,6,1
467442,2,1,56,1,5,,1,2,6,3
462044,1,0,47,1,5,4,0,1,6,2
465686,1,0,22,0,1,0,0,2,6,4
464590,1,0,27,1,5,14,0,3,6,1
466006,1,1,49,1,5,1,0,2,,3
